test_id,public_no,title,abstract_excerpt,claims_excerpt,gold_labels,gold_protein_type,gold_protein_function,gold_separation_technology,source_dataset,example_authority
T001,CN119453323A,一种促进骨骼肌发育的小儿配方食品,本发明提供了一种促进骨骼肌发育的小儿配方食品，该小儿配方食品包括乳铁蛋白和吡咯喹啉醌二钠盐，二者重量比为20:1‑30:1。该小儿配方食品具有促进骨骼肌发育的效果，确保小儿能够充分吸收和利用这些关键营养素，显著改善肌肉质量、肌肉力量以及肌肉功能。,1.一种小儿配方食品，其含有乳铁蛋白和吡咯喹啉醌二钠盐组合物，所述乳铁蛋白和吡咯喹啉醌二钠盐的重量比为20:1-30:1。_x000D_ 10.一种组合物在制备促进骨骼及发育的产品中的应用，其中，所述的组合物含有乳铁蛋白和吡咯喹啉醌二钠盐，所述乳铁蛋白和吡咯喹啉醌二钠盐的重量比为20:1-30:1；优选地，所述的产品为小儿配方食品。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 健骨 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 健骨 | 蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T002,KR102750114B1,"유청 단백 가수분해물을 포함하는 수면장애의 예방, 개선 또는 치료용 조성물","본 발명은 유청 단백 가수분해물을 유효성분으로 포함하는 수면장애의 예방, 개선 또는 치료용 조성물에 관한 것이다. 본 발명의 유청 단백 가수분해물을 포함하는 조성물을 활용하면 약물 의존증 및 두통 등의 부작용이 적으면서 수면시간의 증가, 각성시간의 감소, NREM 수면시간의 증가, REM 수면시간의 감소, GABAA 수용체(gamma-aminobutyric acid A receptor) 유전자의 발현량 증가 및 세로토닌 수용체 유전자의 발현량 증가를 통하여 수면장애를 예방, 개선 또는 치료할 수 있다.","청구항 1_x000D_ 유청 단백 가수분해물을 유효성분으로 포함하는 수면장애의 예방, 개선 또는 치료용 약제학적 조성물에 있어서,상기 유청 단백 가수분해물은 유청 단백에 알칼레이즈(Alcalase) 및 프로자임(Prozyme) 효소를 처리하여 얻은 가수분해물인, 조성물._x000D_ 청구항 10_x000D_ 유청 단백 가수분해물을 포함하는 수면장애의 예방 또는 개선용 식품 조성물에 있어서,상기 유청 단백 가수분해물은 유청 단백에 알칼레이즈 및 프로자임 효소를 처리하여 얻은 가수분해물인, 조성물._x000D_ 청구항 11_x000D_ a) 유청 단백에 알칼레이즈 효소를",蛋白类型 > 其他乳蛋白 > 乳肽 | 蛋白功能 > 改善睡眠,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 改善睡眠,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T003,CN119241680A,ACE抑制肽VR8、其应用及制备方法,本发明公开了ACE抑制肽VR8、其应用及制备方法，涉及生物技术领域，其技术方案要点包括所述ACE抑制肽VR8的氨基酸序列为：VPNSAEER。本发明还公开了ACE抑制肽VR8在辅助降血压功能食品中的应用。本发明得到的ACE抑制肽VR8从牛奶酪蛋白中提取得到，在有效抑制体外ACE活性时控制血压，同时兼具特异性高、毒副作用小和疗效好优势，以便于提高药剂量的方式满足日常使用和保健需求。,1.一种ACE抑制肽VR8，其特征在于：所述ACE抑制肽VR8的氨基酸序列为：VPNSAEER。_x000D_ 3.一种ACE抑制肽VR8的应用，其特征在于：包括采用如权利要求1或2所述的ACE抑制肽VR8并应用于辅助降血压功能食品。_x000D_ 4.一种用于制备如权利要求1或2所述的ACE抑制肽VR8的方法，其特征在于，包括如下步骤：_x000D_ 步骤1、取牛奶酪蛋白，加入蛋白酶进行酶解，控制酶解温度为37℃-55℃，加酶量为2%-6%，PH大于7，酶解时间为3h-12h，获得酶解产物；_x000D_ 步骤2、对酶解产物进行过滤，去除残渣后得到澄清的多肽酶解液，将多肽酶解液冻干处理后得到多肽冻干粉。,蛋白类型 > 其他乳蛋白 > 乳肽 | 分离技术手段 > 膜分离 > 过滤，超滤或反渗透 | 分离技术手段 > 定向酶解 | 蛋白功能 > 降压,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 降压,分离技术手段 > 膜分离 > 过滤，超滤或反渗透 | 分离技术手段 > 定向酶解,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T004,CN118556870B,一种营养组合物及其在改善大脑、神经和认知发育中的应用,本发明涉及食品技术领域，具体涉及一种营养组合物及其在改善大脑、神经和认知发育中的应用。本发明提供的营养组合物包含中长链脂肪酸甘油三酯和酪蛋白磷酸肽，该组合物中，中长链脂肪酸甘油三酯和酪蛋白磷酸肽协同作用，显著提高了组合物改善大脑、神经和认知发育的作用效果。该组合物可用于预防或改善脑发育迟缓以及神经系统和认知发育迟缓；同时，还可以用于预防或改善学习能力受损、精神行为受损、记忆力受损或注意广度降低等，具有较好的应用前景。,1.一种营养组合物，其特征在于，所述营养组合物包含质量比为（8-25）：1的中长链脂肪酸甘油三酯和酪蛋白磷酸肽。_x000D_ 3.权利要求1或2所述的营养组合物在制备用于改善大脑或认知发育的产品中的应用。_x000D_ 5.权利要求1或2所述的营养组合物在制备用于增强学习和/或记忆功能的产品中的应用。_x000D_ 7.权利要求1或2所述的营养组合物在非疾病治疗目的的改善大脑或认知发育中的应用。_x000D_ 8.权利要求1或2所述的营养组合物在非疾病治疗目的的增强学习和/或记忆功能中的应用。_x000D_ 9.一种产品，其特征在于，所述产品包含权利要求1或2所述的营养组合物。,蛋白类型 > 其他乳蛋白 > 乳肽 | 蛋白功能 > 抗神经退行性 | 蛋白功能 > 促进脑发育,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 抗神经退行性 | 蛋白功能 > 促进脑发育,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T005,CN118787031A,一种含乳铁蛋白的营养组合物、生产工艺及其应用,本发明的含乳铁蛋白的营养组合物，由于含有了乳铁蛋白、免疫球蛋白、维生素A、维生素E、维生素B6、维生素C，且还含有益生菌等，且营养组合物中各组分的重量百分比选择了一个比较适合的配比，使得营养组合物具备了显著的增强免疫力功效和抗病毒性肺炎功效，另外本发明还提供了含乳铁蛋白的营养组合物的生产工艺，将混合、浓缩及喷雾集成到浓缩干燥设备中进行，由于包括了能够在圆形和椭圆形之间进行形态切换的外动态变形筒的内动态混合筒组，能够驱动浓缩区内的混合液在内动态混合筒组限定内的内动态液腔和限定外的外动态液腔内进行运动，从而使得其能够充分进行混合，提高生产效率，使得生产出的营养组合物组分分布更均匀。,1.一种含乳铁蛋白的营养组合物，其特征在于：所述营养组合物由乳清粉、奶粉，乳铁蛋白组成，还含有维生素A、维生素E、维生素B6和维生素C。_x000D_ 7.一种如权利要求1-6任意一项权利要求的含乳铁蛋白的营养组合物的生产工艺，其特征在于：所述生产工艺包括如下步骤：_x000D_ 步骤一：生牛乳处理：_x000D_ 将新鲜牛乳通过净乳、巴氏杀菌后，在经过高压均质，存储备用；_x000D_ 步骤二：初步混料、浓缩：_x000D_ 将经过高压均质的新鲜牛乳与经过巴氏杀菌的新鲜乳清液进行混合搅拌形成混合液一，并通过加热将奶液固形物含量浓缩至一定含量；_x000D_ 步骤三：喷雾干燥：_x000D_ 将浓缩后的混合液一通过喷头喷出，并通过通,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 免疫调节 | 蛋白功能 > 抗菌抗病毒,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 免疫调节 | 蛋白功能 > 抗菌抗病毒,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T006,CN118766091A,一种营养组合物在提高肠道内短链脂肪酸含量中的应用,本发明涉及一种营养组合物在提高肠道内短链脂肪酸含量中的应用，属于营养组合物技术领域。本发明的营养组合物包括乳铁蛋白和益生元，可以有效调节肠道菌群的代谢物短链脂肪酸，尤其是乙酸、丙酸、丁酸。在发酵过程中，肠道菌群的多样性不断增加，使得代谢产生的代谢物短酸脂肪酸不断地增多。该营养组合物可以增加中老年便秘人群中的肠道短链脂肪酸的含量。,1.一种营养组合物在提高肠道内短链脂肪酸含量中的应用，其特征在于，所述营养组合物包括乳铁蛋白和益生元。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 免疫调节 | 蛋白功能 > 促进肠道健康,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 免疫调节 | 蛋白功能 > 促进肠道健康,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T008,CN118754970A,一种载锌乳铁蛋白制备方法、载锌乳铁蛋白和应用,本发明公开了一种载锌乳铁蛋白制备方法、载锌乳铁蛋白和应用，包括：S1，将天然乳铁蛋白粉末溶解于纯水后置于透析袋中，放进脱铁缓冲溶液中进行透析，将透析后的透析袋放进纯水中继续进行透析；S2，将透析后的透析袋溶液用冻干机进行真空冷冻干燥，得到脱铁乳铁蛋白粉末，将脱铁乳铁蛋白粉末溶解于结合缓冲液中，加入适量的硫酸锌溶液结合；S3，将结合反应结束后的溶液置于透析袋中，放进结合缓冲溶液中进行透析，将透析后的透析袋放进纯水中继续进行透析；S4，将透析后的透析袋溶液用冻干机进行真空冷冻干燥，得到载锌乳铁蛋白粉末。本发明所述方法制备得的载锌乳铁蛋白经电感耦合等离子体质谱（ICP‑MS）测定，含锌量高达140 mg/100 g，螯合率高达87%。,1.一种载锌乳铁蛋白的制备方法，其特征在于，包括：_x000D_ S1，将天然乳铁蛋白粉末溶解于纯水后置于透析袋中，放进脱铁缓冲溶液中进行透析，将透析后的透析袋放进纯水中继续进行透析；_x000D_ S2，将透析后的透析袋溶液用冻干机进行真空冷冻干燥，得到脱铁乳铁蛋白粉末，将脱铁乳铁蛋白粉末溶解于结合缓冲液中，加入适量的硫酸锌溶液结合；_x000D_ S3，将结合反应结束后的溶液置于透析袋中，放进结合缓冲溶液中进行透析，将透析后的透析袋放进纯水中继续进行透析；_x000D_ S4，将透析后的透析袋溶液用冻干机进行真空冷冻干燥，得到载锌乳铁蛋白粉末。_x000D_ 8.权利要求1-7任一所述的制备方法制备得到的载锌乳铁蛋白。_x000,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 分离技术手段 > 膜分离 > 过滤，超滤或反渗透 | 蛋白功能 > 抗氧化,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 抗氧化,分离技术手段 > 膜分离 > 过滤，超滤或反渗透,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T009,CN118726517A,一种鲜奶级酪蛋白活性肽的制备方法,本发明涉及食品技术领域，尤其涉及一种鲜奶级酪蛋白活性肽的制备方法。本发明通过选择碱性蛋白酶和风味蛋白酶序贯酶解，联合控制两步酶解过程中温度、pH以及酶解时间在合适的范围内，之后结合膜分离手段获得了平均分子量小于1KDa的鲜奶级酪蛋白活性肽，具有较好的生物利用度和抗疲劳生物活性，可使机体快速恢复体力。,1.一种鲜奶级酪蛋白活性肽的制备方法，其特征在于，包括：_x000D_ (1)将酪蛋白胶束粉溶解后制得酪蛋白溶液；_x000D_ (2)将所述酪蛋白溶液先用碱性蛋白酶酶解，然后经过5KDa的陶瓷膜分离后，将获得的透过液用风味蛋白酶酶解，制得酶解液；_x000D_ 所述碱性蛋白酶酶解的条件包括：pH值为6～9，酶解温度为50℃～70℃，酶解时间为2～4h；_x000D_ 所述风味蛋白酶酶解的条件包括：pH值为5～8，酶解温度为50℃～60℃，酶解时间为3～4h；_x000D_ (3)将所述酶解液经过1KDa的陶瓷膜分离后，制得所述鲜奶级酪蛋白活性肽。_x000D_ 7.一种鲜奶级酪蛋白活性肽或鲜奶级酪蛋白活性肽粉，其特征在于，其由权利,蛋白类型 > 其他乳蛋白 > 乳肽 | 分离技术手段 > 膜分离 | 蛋白功能 > 抗氧化,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 抗氧化,分离技术手段 > 膜分离,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T010,CN111801109B,能够改善认知功能的肽,本发明解决的课题是提供：具有优异的抑制认知功能劣化并改善认知功能的效果的肽；和所述肽的用途。在本发明中，由式：Tyr‑Leu‑Gly表示的三肽用作认知功能改善用组合物或海马中脑源性神经营养因子表达增强用组合物的活性成分。这些组合物包括食品组合物、食品添加用组合物和药物组合物。,1.由Tyr-Leu-Gly表示的三肽在用于改善胰岛素抵抗的组合物的制造中的用途。,蛋白类型 > 其他乳蛋白 > 乳肽 | 蛋白功能 > 降糖 | 蛋白功能 > 抗神经退行性,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 降糖 | 蛋白功能 > 抗神经退行性,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T011,CN118575955A,包含乳脂肪和免疫球蛋白的营养组合物,一种合成的营养组合物，其包含：反刍动物乳脂肪，其中该乳脂肪能够在芳香烃受体(AhR)活性测定中活化该AhR；和反刍动物免疫球蛋白。,1.一种合成的营养组合物，其包含：_x000D_ i.反刍动物乳脂肪，其中该乳脂肪能够在芳香烃受体(AhR)活性测定中活化该AhR；和_x000D_ ii.反刍动物免疫球蛋白，该反刍动物免疫球蛋白的量在115μg与50mg/克干组合物之间；_x000D_ 其特征在于至少30％的反刍动物免疫球蛋白是非变性的；_x000D_ 并且其中乳脂肪的量在10与60g脂肪/100克配方之间，其中反刍动物脂肪的量在如对脂肪的总量确定的5wt％与90wt％之间。_x000D_ 14.如权利要求1至13中任一项所述的营养组合物在早产儿配方、婴儿配方、后续配方或幼儿配方中的用途。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 免疫调节 | 蛋白功能 > 促进肠道健康,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 免疫调节 | 蛋白功能 > 促进肠道健康,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T012,CN117941742B,一种促进蛋白质吸收的营养组合物及其用途,本发明公开了一种促进蛋白质吸收的营养组合物及其用途，具体地，所述的营养组合物包括α‑乳清蛋白、β‑酪蛋白和镁盐，α‑乳清蛋白、β‑酪蛋白和镁盐中镁的质量比为（0.9‑9.2）：（1.1‑9.0）：（0.02‑0.08），α‑乳清蛋白占总蛋白含量的9%‑50%、β‑酪蛋白占总蛋白含量的10.5%‑60%。该营养组合物可促进蛋白质吸收、增加游离氨基酸吸收总量、促进氨基酸转运蛋白（SLC6A14）和寡肽转运蛋白（PEPT1）的表达。,1.一种营养组合物或包括该营养组合物的食品在制备促进蛋白质吸收的产品中的应用，所述的营养组合物包括α-乳清蛋白、β-酪蛋白和镁盐，α-乳清蛋白、β-酪蛋白和镁盐中镁的质量比为（2.2-6.5）：（2.2-6.4）：（0.02-0.08），α-乳清蛋白占总蛋白含量的21%-44%，β-酪蛋白占总蛋白含量的26%-56%，所述的促进蛋白质吸收包括增加游离氨基酸吸收总量；所述的镁盐为氯化镁。_x000D_ 2.一种营养组合物或包括该营养组合物的食品在制备促进氨基酸转运蛋白表达的产品中的应用，其中，所述的氨基酸转运蛋白包括SLC6A14，所述的营养组合物包括α-乳清蛋白、β-酪蛋白和镁盐，α-乳清蛋白、β-酪蛋白和镁盐中镁的质量比为（2.2,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 酪蛋白 > β-酪蛋白 | 蛋白功能 > 促进消化,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 酪蛋白 > β-酪蛋白,蛋白功能 > 促进消化,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T013,CN118320065A,改善肌肉衰减和促进成肌分化的组合物及其应用,本发明涉及功能性组合物技术领域，尤其涉及一种改善肌肉衰减和促进成肌分化的组合物及其应用。本发明延缓骨骼肌衰老的方法，通过采用一定浓度的乳铁蛋白与肌酸联合试剂，对由长期注射D‑半乳糖而构建的衰老型小鼠进行营养干预。结果表明，经过营养干预的小鼠的肌肉力量、肌肉质量、肌肉功能、瘦肉含量等指标对比模型组、乳铁蛋白组和肌酸组都有明显的改善效果。本发明提出了乳铁蛋白联合肌酸在延缓肌肉衰减症中的新用途，证明了乳铁蛋白与肌酸联合营养干预策略具有抑制骨骼肌衰老的发生及发展作用，可为临床疾病的预防提供新策略，在肌肉衰减症的防治及改善均具有良好的应用前景。,1.一种改善肌肉衰减和促进成肌分化的组合物，其特征在于，_x000D_ 所述组合物包括乳铁蛋白和肌酸，所述乳铁蛋白和肌酸的重量比为4:1-6:1，所述肌酸的用量为83mg/kg/day。_x000D_ 2.权利要求1所述的组合物在改善肌肉质量、肌肉力量以及肌肉功能的应用。_x000D_ 4.一种食品或保健食品或药物，包含权利要求1所述的组合物，在改善肌肉质量、肌肉力量以及肌肉功能的应用。_x000D_ 5.一种食品或保健食品或药物，包含权利要求1所述的组合物，在促进成肌分化的应用。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 健骨 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 健骨 | 蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T014,CN118320064A,乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用,本发明涉及一种乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用。本发明通过采用一定浓度的乳铁蛋白试剂，对由长期注射D‑半乳糖而构建的衰老型小鼠进行营养干预。结果表明，经过营养干预的小鼠的肌肉力量、肌肉质量、肌肉功能、瘦肉含量等指标对比模型组都有明显的改善效果。说明本发明提出的乳铁蛋白营养干预策略对肌肉衰减症的防治及改善均具有重要意义。,1.一种乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用，其特征在于，所述应用为乳铁蛋白在改善肌肉质量、肌肉力量及肌肉功能方面的应用。_x000D_ 2.如权利要求1所述的一种乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用，其特征在于：所述乳铁蛋白的用量为500mg/kg/day。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 健骨 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 健骨 | 蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T015,CN118320066A,改善肌肉衰减和促进成肌分化的组合物及其应用,本发明涉及一种改善肌肉衰减和促进成肌分化的组合物及其应用。本发明通过采用一定浓度的乳铁蛋白和辅酶Q组合物，对由长期注射D‑半乳糖而构建的衰老型小鼠进行营养干预。结果表明，经过营养干预的小鼠的肌肉力量、肌肉质量、肌肉功能、瘦肉含量等指标对比模型组都有明显的改善效果。说明本发明提出的乳铁蛋白营养干预策略对肌肉衰减症的防治及改善均具有重要意义。,1.一种改善肌肉衰减和促进成肌分化的组合物，其特征在于，所述的组合物包括：乳铁蛋白和辅酶Q，所述乳铁蛋白和辅酶Q的质量比为50:1。_x000D_ 2.如权利要求1所述的改善肌肉衰减和促进成肌分化的组合物的应用，其特征在于：_x000D_ 所述应用为所述组合物在改善肌肉质量、肌肉力量及肌肉功能方面的应用。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 健骨 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 健骨 | 蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T016,CN118252256A,一种组合物及其应用、食品,本发明涉及食品技术领域，具体提供了一种组合物及其应用、食品。本发明的组合物由富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉组成；所述富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉的质量比为(1‑10)：1。与现有技术相比，本发明提供的质量比为(1‑10)：1富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉的组合物，对于促进肠道发育具有协同增效的作用能够显著提高肠道的绒毛高度和肠道绒毛隐窝比。,1.一种组合物，其特征在于，由富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉组成；所述富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉的质量比为(1-10)：1。_x000D_ 6.如权利要求1～5任一项所述的组合物在制备促进肠道发育产品中的应用。_x000D_ 8.食品，其特征在于，包括如权利要求1～5任一项所述的组合物。,蛋白类型 > 酪蛋白 > 酪蛋白糖聚肽 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白 | 蛋白功能 > 促进肠道健康,蛋白类型 > 酪蛋白 > 酪蛋白糖聚肽 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白,蛋白功能 > 促进肠道健康,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
